690 files	Cell Line	Factor	UCSC Accession	Size	Additional Details
Download	A549	EP300	wgEncodeEH002292	398 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=p300; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549P300V0422111Etoh02UniPk; md5sum=3fb40129c65b04a8b81b475fefebd207;
Download	A549	ETS1	wgEncodeEH002290	126 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=ETS1; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549Ets1V0422111Etoh02UniPk; md5sum=868529ee58e59a31a5492e958602be8a;
Download	A549	FOSL2	wgEncodeEH002310	674 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=FOSL2; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549Fosl2V0422111Etoh02UniPk; md5sum=9481216ee7b2c7ddd22a3a643712137f;
Download	A549	FOXA1	wgEncodeEH002293	200 KB	lab=HudsonAlpha; view=Peaks; treatment=DEX_100nM; antibody=FOXA1_(SC-101058); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL2665; quality=good; tableName=wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk; md5sum=54f26077b864d05fae66a0399ccbd478;
Download	A549	GABPA	wgEncodeEH002294	289 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=GABP; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549GabpV0422111Etoh02UniPk; md5sum=9ca63e2ff97ae04e6fc82dc828ac6998;
Download	A549	MAX	wgEncodeEH002820	232 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Max; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH002819; quality=good; tableName=wgEncodeAwgTfbsSydhA549MaxIggrabUniPk; md5sum=b4b49e60a4fbcb3638b744969974683a;
Download	A549	NR3C1	wgEncodeEH001490	28 KB	lab=HudsonAlpha; view=Peaks; treatment=DEX_500pM; antibody=GR; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL878; quality=good; tableName=wgEncodeAwgTfbsHaibA549GrPcr1xDex500pmUniPk; md5sum=45e6c4ee04182c0f2850e3e9740b9ae1;
Download	A549	NR3C1	wgEncodeEH001491	556 KB	lab=HudsonAlpha; view=Peaks; treatment=DEX_50nM; antibody=GR; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL878; quality=good; tableName=wgEncodeAwgTfbsHaibA549GrPcr1xDex50nmUniPk; md5sum=5622c161576ad3b8a5e8fdc78e47efdc;
Download	A549	NR3C1	wgEncodeEH001492	257 KB	lab=HudsonAlpha; view=Peaks; treatment=DEX_5nM; antibody=GR; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL878; quality=good; tableName=wgEncodeAwgTfbsHaibA549GrPcr1xDex5nmUniPk; md5sum=5b0fce0f523eb28b946989f4d9eadfc7;
Download	A549	NR3C1	wgEncodeEH001555	374 KB	lab=HudsonAlpha; view=Peaks; treatment=DEX_100nM; antibody=GR; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL247; quality=good; tableName=wgEncodeAwgTfbsHaibA549GrPcr2xDex100nmUniPk; md5sum=1c4750bad0499fb088044564a85465ce;
Download	A549	POLR2A	wgEncodeEH001493	568 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=Pol2; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL307; quality=good; tableName=wgEncodeAwgTfbsHaibA549Pol2Pcr2xEtoh02UniPk; md5sum=b6e5aa4b336a14943cf20d2b4f9584ac;
Download	A549	POLR2A	wgEncodeEH001494	564 KB	lab=HudsonAlpha; view=Peaks; treatment=DEX_100nM; antibody=Pol2; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL335; quality=good; tableName=wgEncodeAwgTfbsHaibA549Pol2Pcr2xDex100nmUniPk; md5sum=dd13c2369392a16148d834fbc53f5d1d;
Download	A549	POLR2A	wgEncodeEH002079	354 KB	lab=UT-A; view=Peaks; treatment=None; antibody=Pol2; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH002077; quality=good; tableName=wgEncodeAwgTfbsUtaA549Pol2UniPk; md5sum=e8bec2251fd0ad8c9f5b8e3324e04d63;
Download	A549	POLR2A	wgEncodeEH002821	88 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Pol2(phosphoS2); control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH002819; quality=good; tableName=wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk; md5sum=b6dba1a9be1f441a73aa39539f221e51;
Download	A549	RAD21	wgEncodeEH002822	590 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Rad21; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH002819; quality=good; tableName=wgEncodeAwgTfbsSydhA549Rad21IggrabUniPk; md5sum=fff8cd92238c218bfa89ed175a57f812;
Download	A549	REST	wgEncodeEH002311	271 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=NRSF; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549NrsfV0422111Etoh02UniPk; md5sum=6320480eacc3d4d6a4f97b1c3e4358a0;
Download	A549	SIN3AK20	wgEncodeEH002342	147 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=Sin3Ak-20; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549Sin3ak20V0422111Etoh02UniPk; md5sum=4ad95500231538f1090cbcaa42fe5b02;
Download	A549	SIX5	wgEncodeEH002341	119 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=SIX5; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549Six5V0422111Etoh02UniPk; md5sum=1be59fdb2adc9d9ed041877d2c649095;
Download	A549	TAF1	wgEncodeEH002275	210 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=TAF1; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549Taf1V0422111Etoh02UniPk; md5sum=cd19b8e4e820dad3140915e3e43de3c8;
Download	A549	TCF12	wgEncodeEH002312	448 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=TCF12; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk; md5sum=1efa0794739e5324d517d67db31815c1;
Download	A549	USF1	wgEncodeEH001509	287 KB	lab=HudsonAlpha; view=Peaks; treatment=DEX_100nM; antibody=USF-1; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL474; quality=good; tableName=wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk; md5sum=904d202ddb21508dfccc235fd2cc61c1;
Download	A549	USF1	wgEncodeEH001539	289 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=USF-1; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL475; quality=good; tableName=wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk; md5sum=68e53bb3f72c295a8630119dda9bc29f;
Download	A549	USF1	wgEncodeEH002291	196 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=USF-1; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk; md5sum=ac1782ebe8298aa7eaef06b8b9c73b0d;
Download	A549	YY1	wgEncodeEH002282	221 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=YY1_(SC-281); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk; md5sum=9ccd632318c4febcc974ecf8046b5858;
Download	A549	ZBTB33	wgEncodeEH002295	179 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=ZBTB33; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549Zbtb33V0422111Etoh02UniPk; md5sum=ee049a8f0b9a0eafdf9e430bdbb2c1ab;
Download	AG04449	CTCF	wgEncodeEH000975	1.1 MB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000928; quality=good; tableName=wgEncodeAwgTfbsUwAg04449CtcfUniPk; md5sum=3299dd51bc4785240ee75f48e0e784ed;
Download	AG04450	CTCF	wgEncodeEH000976	942 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000930; quality=good; tableName=wgEncodeAwgTfbsUwAg04450CtcfUniPk; md5sum=8b5a364179370a8c367adade18268e69;
Download	AG09309	CTCF	wgEncodeEH000977	888 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000932; quality=good; tableName=wgEncodeAwgTfbsUwAg09309CtcfUniPk; md5sum=2cd9293bf2f423537c5ad0f242600b98;
Download	AG09319	CTCF	wgEncodeEH000978	965 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000934; quality=good; tableName=wgEncodeAwgTfbsUwAg09319CtcfUniPk; md5sum=cbaea7e528e99ebd192dc9d0d96e8c98;
Download	AG10803	CTCF	wgEncodeEH000979	970 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000936; quality=good; tableName=wgEncodeAwgTfbsUwAg10803CtcfUniPk; md5sum=450658c8215737384bdffeb9c63fa644;
Download	AoAF	CTCF	wgEncodeEH000980	901 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000938; quality=good; tableName=wgEncodeAwgTfbsUwAoafCtcfUniPk; md5sum=8c26598f0b0553f866541d847939243b;
Download	BE(2)-C	CTCF	wgEncodeEH001891	1.0 MB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001892; quality=good; tableName=wgEncodeAwgTfbsUwBe2cCtcfUniPk; md5sum=6eaa08149ca06c5e0538f9cfee10e026;
Download	BJ	CTCF	wgEncodeEH000403	857 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000453; quality=good; tableName=wgEncodeAwgTfbsUwBjCtcfUniPk; md5sum=4c4bf9753a07d7bc6ac8ba303622050c;
Download	Caco-2	CTCF	wgEncodeEH000404	933 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000454; quality=good; tableName=wgEncodeAwgTfbsUwCaco2CtcfUniPk; md5sum=a915c0e22c31853b370387f5fb4e85f2;
Download	Dnd41	CTCF	wgEncodeEH002402	965 KB	lab=Broad; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH002434; quality=good; tableName=wgEncodeAwgTfbsBroadDnd41CtcfUniPk; md5sum=d24dcb9899cf3f58dfb83e8701b9e9cc;
Download	Dnd41	EZH2	wgEncodeEH003080	42 KB	lab=Broad; view=Peaks; treatment=None; antibody=EZH2_(39875); control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH002434; quality=caution; tableName=wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk; md5sum=effd48196e39d321ad9f4e2c857dbe88;
Download	ECC-1	CTCF	wgEncodeEH002300	492 KB	lab=HudsonAlpha; view=Peaks; treatment=DMSO_0.02pct; antibody=CTCF_(SC-5916); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1882; quality=good; tableName=wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk; md5sum=95f038f03f06ce17ce6007f9810f9a63;
Download	ECC-1	ESR1	wgEncodeEH001536	383 KB	lab=HudsonAlpha; view=Peaks; treatment=Estradiol_10nM; antibody=ERalpha_a; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1034; quality=good; tableName=wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Est10nm1hUniPk; md5sum=bed676a495fa3ced6fdf32568e8e8ffb;
Download	ECC-1	ESR1	wgEncodeEH001575	251 KB	lab=HudsonAlpha; view=Peaks; treatment=Genistein_100nM; antibody=ERalpha_a; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1034; quality=good; tableName=wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Gen1hUniPk; md5sum=4e1a698f227b436b991aa7cd1895deb9;
Download	ECC-1	ESR1	wgEncodeEH002313	112 KB	lab=HudsonAlpha; view=Peaks; treatment=BPA_100nM; antibody=ERalpha_a; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1034; quality=good; tableName=wgEncodeAwgTfbsHaibEcc1EraaV0416102Bpa1hUniPk; md5sum=97daabbac6e73bcc1615da0894b79c1c;
Download	ECC-1	FOXA1	wgEncodeEH001586	129 KB	lab=HudsonAlpha; view=Peaks; treatment=DMSO_0.02pct; antibody=FOXA1_(SC-6553); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1882; quality=good; tableName=wgEncodeAwgTfbsHaibEcc1Foxa1sc6553V0416102Dm002p1hUniPk; md5sum=d15ef15e94851cbfd1b3f966455e0c71;
Download	ECC-1	NR3C1	wgEncodeEH001540	211 KB	lab=HudsonAlpha; view=Peaks; treatment=DEX_100nM; antibody=GR; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1035; quality=good; tableName=wgEncodeAwgTfbsHaibEcc1GrV0416102Dex100nmUniPk; md5sum=6982fbcb3e644195796b6e8f1680acd3;
Download	ECC-1	POLR2A	wgEncodeEH001572	408 KB	lab=HudsonAlpha; view=Peaks; treatment=DMSO_0.02pct; antibody=Pol2; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1882; quality=good; tableName=wgEncodeAwgTfbsHaibEcc1Pol2V0416102Dm002p1hUniPk; md5sum=80b37592cbedef485ca0f9171cfa723b;
Download	Fibrobl	CTCF	wgEncodeEH001127	1020 KB	lab=UT-A; view=Peaks; treatment=None; antibody=CTCF; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001128; quality=good; tableName=wgEncodeAwgTfbsUtaFibroblCtcfUniPk; md5sum=e7fb2f6432b501ed246925e41368a33a;
Download	GM06990	CTCF	wgEncodeEH000392	909 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000455; quality=good; tableName=wgEncodeAwgTfbsUwGm06990CtcfUniPk; md5sum=6e7feb4b7d91b00f3c68d4dd5d045b59;
Download	GM08714	ZNF274	wgEncodeEH002866	15 KB	lab=USC; view=Peaks; treatment=None; antibody=ZNF274; control=UCDavis; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH002870; quality=caution; tableName=wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk; md5sum=e8ea73179b27f99bd4a380fbcfed3d7e;
Download	GM10847	POLR2A	wgEncodeEH000705	185 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Pol2; control=IgG-mus; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000728; quality=caution; tableName=wgEncodeAwgTfbsSydhGm10847Pol2IggmusUniPk; md5sum=3ccb4c9287cffe072096cddef130f939;
Download	GM10847	RELA	wgEncodeEH000734	224 KB	lab=Stanford; view=Peaks; treatment=TNFa; antibody=NFKB; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000770; quality=good; tableName=wgEncodeAwgTfbsSydhGm10847NfkbTnfaIggrabUniPk; md5sum=63282afbd63c5d1f674e17dd1d65787d;
Download	GM12801	CTCF	wgEncodeEH000393	53 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000456; quality=good; tableName=wgEncodeAwgTfbsUwGm12801CtcfUniPk; md5sum=d62e745d4a3c4ee7860a2245977abb49;
Download	GM12864	CTCF	wgEncodeEH000447	931 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000457; quality=good; tableName=wgEncodeAwgTfbsUwGm12864CtcfUniPk; md5sum=0bacdc21ae601905b227e934bdd7e244;
Download	GM12865	CTCF	wgEncodeEH000448	900 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000458; quality=good; tableName=wgEncodeAwgTfbsUwGm12865CtcfUniPk; md5sum=d2ea103f68fcfc83c5f4653c104cf283;
Download	GM12872	CTCF	wgEncodeEH000449	982 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000459; quality=good; tableName=wgEncodeAwgTfbsUwGm12872CtcfUniPk; md5sum=9c28b7d4012a9057c84dce427056daa1;
Download	GM12873	CTCF	wgEncodeEH000450	1004 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000460; quality=good; tableName=wgEncodeAwgTfbsUwGm12873CtcfUniPk; md5sum=619586d84dd6503321ab8e449fa400c3;
Download	GM12874	CTCF	wgEncodeEH000451	711 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000461; quality=good; tableName=wgEncodeAwgTfbsUwGm12874CtcfUniPk; md5sum=6de90496088fd11833e4b3a0613370f5;
Download	GM12875	CTCF	wgEncodeEH000452	823 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000462; quality=good; tableName=wgEncodeAwgTfbsUwGm12875CtcfUniPk; md5sum=3fba6b32be752fd91508c152e16d5d66;
Download	GM12878	ATF2	wgEncodeEH002306	454 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=ATF2_(SC-81188); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6022; quality=good; tableName=wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk; md5sum=d85bd9c81ecb4841632d70b537c82a1c;
Download	GM12878	ATF3	wgEncodeEH001562	33 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=ATF3; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1613; quality=caution; tableName=wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk; md5sum=788aaa2184eadd8fae39ba4418785e8e;
Download	GM12878	BATF	wgEncodeEH001479	619 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=BATF; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL516; quality=good; tableName=wgEncodeAwgTfbsHaibGm12878BatfPcr1xUniPk; md5sum=a99dc8c74c2848c9122d5b2b30a71ce8;
Download	GM12878	BCL11A	wgEncodeEH001486	340 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=BCL11A; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL516; quality=good; tableName=wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk; md5sum=6d904fec1638094c4987701fe3122798;
Download	GM12878	BCL3	wgEncodeEH001658	293 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=BCL3; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1613; quality=good; tableName=wgEncodeAwgTfbsHaibGm12878Bcl3V0416101UniPk; md5sum=4cabbe15358fe0e3d6da42f3501e90ef;
Download	GM12878	BCLAF1	wgEncodeEH001563	117 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=BCLAF1_(SC-101388); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1395; quality=good; tableName=wgEncodeAwgTfbsHaibGm12878Bclaf101388V0416101UniPk; md5sum=7e7aeae231be02b6b483187e07bb0516;
Download	GM12878	BHLHE40	wgEncodeEH002025	319 KB	lab=Stanford; view=Peaks; treatment=None; antibody=BHLHE40_(NB100-1800); control=IgG-mus; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000706; quality=good; tableName=wgEncodeAwgTfbsSydhGm12878Bhlhe40cIggmusUniPk; md5sum=43f768e6d28c394456416c3392b16bfd;
Download	GM12878	BRCA1	wgEncodeEH001830	14 KB	lab=Stanford; view=Peaks; treatment=None; antibody=BRCA1_(A300-000A); control=IgG-mus; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000706; quality=good; tableName=wgEncodeAwgTfbsSydhGm12878Brca1a300IggmusUniPk; md5sum=fa35f62e0c3954dfc8f49e68492e073b;
Download	GM12878	CEBPB	wgEncodeEH003212	128 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=CEBPB_(SC-150); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6022; quality=caution; tableName=wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk; md5sum=15d87d5d910b01775124b3c5a77e68e1;
Download	GM12878	CHD1	wgEncodeEH002823	172 KB	lab=Stanford; view=Peaks; treatment=None; antibody=CHD1_(A301-218A); control=IgG-mus; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000706; quality=good; tableName=wgEncodeAwgTfbsSydhGm12878Chd1a301218aIggmusUniPk; md5sum=e4ee74067ddfdc7cf6098c7c2e15ec44;
Download	GM12878	CHD2	wgEncodeEH001831	382 KB	lab=Stanford; view=Peaks; treatment=None; antibody=CHD2_(AB68301); control=IgG-mus; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000706; quality=good; tableName=wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk; md5sum=5103547fdc630a8c30b8d7080be75092;
Download	GM12878	CTCF	wgEncodeEH000029	982 KB	lab=Broad; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000037; quality=good; tableName=wgEncodeAwgTfbsBroadGm12878CtcfUniPk; md5sum=fef0af7fe1e724159e665085da53efb1;
Download	GM12878	CTCF	wgEncodeEH000394	807 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000463; quality=good; tableName=wgEncodeAwgTfbsUwGm12878CtcfUniPk; md5sum=9ac0caedb657bef93eb7a34c69375e50;
Download	GM12878	CTCF	wgEncodeEH000532	922 KB	lab=UT-A; view=Peaks; treatment=None; antibody=CTCF; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000528; quality=good; tableName=wgEncodeAwgTfbsUtaGm12878CtcfUniPk; md5sum=6516192621f17860ae80750b252cadda;
Download	GM12878	CTCF	wgEncodeEH001851	1.1 MB	lab=Stanford; view=Peaks; treatment=None; antibody=CTCF_(SC-15914); control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000625; quality=good; tableName=wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk; md5sum=b1b1d7c4e7e9cc47684ded025bdbf232;
